# Fiber Diameter
# X: Absolute position, y1:Upper edge, y2: Lower edge
# X, y1, y2
10000, 646, 663
9500, 633, 651
9000, 622, 635
8500, 609, 622
8000, 602, 608
7500, 592, 598
7000, 581, 586
6500, 572, 576
6000, 559, 564
5500, 549, 553
5000, 538, 540
4500, 524, 527
4000, 515, 518
3500, 502, 507
3000, 489, 493
2500, 482, 486
2000, 469, 478
1500, 458, 469
