# Fiber Diameter
# X: Absolute position, y1:Upper edge, y2: Lower edge
# X, y1, y2
10960, 816, 835
10460, 801, 818
9960, 782, 797
9460, 764, 778
8960, 745, 759
8460, 728, 741
7960, 714, 725
7460, 699, 709
6960, 681, 692
6460, 668, 673
5960, 651, 657
5460, 632, 638
4960, 617, 622
4460, 602, 606
3960, 584, 587
3460, 565, 568
2960, 548, 551
2460, 534, 537
1960, 513, 518
1460, 496, 505
960, 482, 491
460, 464, 475
-40, 445, 459
