# Fiber Diameter
# X: Absolute position, y1:Upper edge, y2: Lower edge
# X, y1, y2
5436, 788, 802
4935, 763, 775
4435, 737, 750
3935, 715, 723
3436, 693, 699
2936, 674, 679
2436, 651, 655
1936, 627, 630
1436, 603, 608
936, 579, 584
436, 557, 562
-64, 537, 540
-564, 512, 515
-1064, 480, 488
-1564, 458, 467
-2064, 433, 445
-2564, 412, 425
