# Fiber Diameter
# X: Absolute position, y1:Upper edge, y2: Lower edge
# X, y1, y2
9051, 444, 458
8551, 444, 458
8051, 452, 466
7551, 455, 466
7051, 456, 471
6551, 463, 471
6051, 469, 474
5551, 461, 467
5051, 471, 475
4551, 475, 477
4051, 475, 478
3551, 477, 480
3051, 483, 485
2551, 489, 493
2051, 488, 493
1551, 489, 493
1051, 493, 496
551, 494, 501
51, 496, 505
-449, 497, 508
-949, 494, 508
-1449, 497, 513
