# Fiber Diameter
# X: Absolute position, y1:Upper edge, y2: Lower edge
# X, y1, y2
6476, 444, 458
5976, 444, 458
5476, 447, 456
4976, 448, 455
4476, 445, 453
3976, 448, 453
3476, 447, 455
2976, 452, 458
2476, 453, 458
1976, 453, 459
1476, 455, 461
976, 455, 461
476, 456, 459
-24, 455, 463
-524, 458, 461
-1024, 452, 461
-1524, 455, 466
-2024, 458, 469
-2524, 458, 469
-3024, 458, 474
-3524, 458, 469
-4024, 459, 475
-4524, 458, 472
-5024, 456, 471
-5524, 461, 472
